repetition,origin,operation,E05receipts,E09receipts,reduction,E05dispatch,E09dispatch,dispatchReduction,E05emitted,E09emitted,windowReceiptGaps,windowMissingApi,windowIncomplete
1,measured,quote,124,4200,0.9704761904761905,124,4200,0.9704761904761905,4200,4200,0,0,0
1,measured,profile,79,1800,0.9561111111111111,79,1800,0.9561111111111111,1800,1800,0,0,0
1,warmupControl,quote,4202,4199,-0.00071445582281493,4201,4199,-0.00047630388187669404,4201,4200,0,0,0
1,warmupControl,profile,1800,1800,0.0,1801,1800,-0.0005555555555556424,1801,1800,0,0,0
2,measured,quote,113,4201,0.9731016424660796,113,4201,0.9731016424660796,4200,4200,0,0,0
2,measured,profile,68,1800,0.9622222222222222,68,1799,0.962201222901612,1800,1800,0,0,0
2,warmupControl,quote,4201,4200,-0.00023809523809514843,4201,4200,-0.00023809523809514843,4200,4200,1,0,0
2,warmupControl,profile,1801,1800,-0.0005555555555556424,1800,1801,0.0005552470849528035,1800,1800,0,0,0
3,measured,quote,326,4201,0.9223994287074506,326,4200,0.9223809523809524,4200,4200,0,0,0
3,measured,profile,139,1800,0.9227777777777778,139,1800,0.9227777777777778,1800,1800,0,0,2
3,warmupControl,quote,4158,4196,0.009056244041944717,4158,4201,0.01023565817662464,4164,4200,5,6,39
3,warmupControl,profile,1797,1801,0.002220988339811214,1797,1801,0.002220988339811214,1796,1800,0,0,1
