runId,label,caseId,fixture,repetition,operation,emitted,complete,p50,p95,p99,wilsonLower,fallbackRatio,providerAttempts,serverResponses,reconciled,loadComplete,latencyPass,completenessPass,maxMs,incomplete,extraIncomplete,originalStatus,derivedStatus
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,E01,valid,1,quote,21000,21000,141,155,172,0.9998171001251503,0.000619047619047619,21000,21000,True,True,True,True,468,0,0,INCONCLUSO,INCONCLUSO
E01-trace-formal-83ddaca1-619b-4f47-a1b8-ee4d1ba756b4,E01 r1,E01,valid,1,profile,9000,9000,141,155,171,0.9995733376739991,0.0006666666666666666,9000,9000,True,True,True,True,386,0,0,INCONCLUSO,INCONCLUSO
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,E01,valid,2,quote,21000,20999,139,153,163,0.9997302852133687,9.523809523809524e-05,20999,21000,True,True,True,True,749,1,0,AJUSTAR,AJUSTAR
E01-s7-initial-e10e1416-e8fb-437a-84a1-bca9da4f99b5,E01 r2,E01,valid,2,profile,9000,9000,140,153,164,0.9995733376739991,0.00022222222222222223,9000,9000,True,True,True,True,389,0,0,AJUSTAR,AJUSTAR
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,E01,valid,3,quote,21000,21000,138,153,172,0.9998171001251503,9.523809523809524e-05,21000,21000,True,True,True,True,404,0,0,INCONCLUSO,INCONCLUSO
E01-s7-initial-4934b38a-7858-4263-a30e-ee41f2a8020e,E01 r3,E01,valid,3,profile,9000,9000,139,154,166,0.9995733376739991,0,9000,9000,True,True,True,True,359,0,0,INCONCLUSO,INCONCLUSO
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,E07,absent,1,quote,21001,21000,141,165,191,0.999730298053894,0.9999523832198467,482,21001,True,True,True,True,748,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E07-s7-initial-f9876597-457e-40da-9f2e-7055eca4c9b7,E07 ausente r1,E07,absent,1,profile,9001,9001,141,165,191,0.9995733850554349,1,304,9001,True,True,True,True,469,0,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E03-s7-initial-e3107ea3-23d3-45c5-ad8e-9dfdcbffd908,E03 r1,E03,valid,1,quote,21000,20999,140,165,264,0.9997302852133687,0.9999523809523809,458,21000,True,True,True,True,755,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
E03-s7-initial-e3107ea3-23d3-45c5-ad8e-9dfdcbffd908,E03 r1,E03,valid,1,profile,9000,8999,141,165,267,0.9993708238698057,0.9998888888888889,275,9000,True,True,True,True,752,1,0,CRITERIOS_BASICOS_CUMPLIDOS,CRITERIOS_BASICOS_CUMPLIDOS
